Unnamed: 0,authors,title,journal,pmid,year,accession,Organisms,RecordYears,Hosts,Countries,IsolateYears,CDS,SeqLens,AlignLens,PcntIDs
0,"Atkinson B., Latham J., Chamberlain J., Logue C., Osborne J., Brooks T., Vipond R., Carroll M., Hewson R.",Direct Submission," Research, Health Protection Agency, Manor Farm Road, Salisbury, Wiltshire SP4 0JG, UK",,2012,JX908640.1,Orthonairovirus haemorrhagiae (1),24-M (1),Homo sapiens (1),Afghanistan (1),03-O (1),nucleocapsid protein (1),1673 (1),482 (1),95%-100% (1)
1,"Baptista C., Wu X., Munroe D.",Viral nucleic acid microarray and method of use,Patent,,2007,"GN358814.1, GN358812.1, GN358810.1",Orthonairovirus haemorrhagiae (3),12-M (3),nan (3),nan (3),nan (3),nan (3),60 (3),0 (3),
2,"Bayrakdar F., Yagci caglayik D.",Direct Submission," Virology, Public Health Institution of Turkey, Saglik Mahallesi Prof. Dr. Nusret Fisek Cad, Ankara, Sihhiye 06100, Turkey",,2015,"KT266848.1, KT266847.1, KT266846.1, KT266845.1, KT266844.1, KT266843.1, KT266842.1, KT266841.1, KT266840.1, KT266839.1, KT266838.1, KT266837.1, KT266836.1, KT266835.1, KT266834.1, KT266833.1, KT266832.1",Orthonairovirus haemorrhagiae (17),09-D (17),Homo sapiens (17),Turkey (17),2014 (17),glycoprotein precursor (17),500-1000 (17),"173 (8), 176 (7), 174 (1), 171 (1)","90%-95% (1), 95%-100% (16)"
3,Belhassen-garcia M.,Direct Submission," Parasitology Department, University of Salamanca, Campus Miguel de Unamuno Calle licenciado mendez, Salamanca, Salamanca 37007, Espana",,2022,"OP776634.1, OP776633.1, OP776632.1, OP776631.1",Orthonairovirus haemorrhagiae (4),23-M (4),Homo sapiens (4),Spain (4),"Apr- (1), Aug- (1), Jul- (1), Jun- (1)",nucleocapsid protein (4),200 (4),66 (4),"90%-95% (1), 95%-100% (3)"
4,"Bendary H., Rasslan F., Zaki A., Abdulall A.",Direct Submission," Microbiology and Immunology, Faculty of Pharmacy (Girls), Al-Azhar University, Dr Abd El-Shennawy, Nasr City, Cairo 11765, Egypt",,2020,MW424419.1,Orthonairovirus haemorrhagiae (1),16-F (1),tick (1),Egypt (1),2019 (1),nucleocapsid protein (1),259 (1),86 (1),95%-100% (1)
5,"Bendary H., Rasslan F., Zaki A., Abdulall A.",Direct Submission," Microbiology and Immunology, Faculty of Pharmacy (Girls), Al-Azhar University, Dr Abd El-Shennawy, Nasr city, Cairo 11765, Egypt",,2021,"MZ361738.1, MZ342904.1, MZ330127.1, MW467898.1, MW467897.1",Orthonairovirus haemorrhagiae (5),"14-J (2), 21-F (2), 30-A (1)","tick (2), Camels (2), ticks (1)",Egypt (5),"2020 (2), 2019 (2), 2021 (1)",nucleocapsid protein (5),"249 (2), 251 (1), 260 (1), 261 (1)","83 (2), 84 (1), 86 (1), 87 (1)","90%-95% (3), 95%-100% (2)"
6,"Bergeron E., Pegan S., Welch S., Scholte F., Spiropoulou C., Nichol S., Spengler J.",CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS REPLICON PARTICLES AND USE THEREOF,Patent,,2020,"MP686120.1, MP686119.1, MP686118.1, MP686117.1, MP686116.1, MP686115.1, MP686114.1, MP686113.1, MP686112.1, MP686111.1, MP686110.1, MP686109.1, MP686108.1, MP686103.1, MP686102.1, MP686101.1, MP686100.1, MP686099.1",synthetic construct (18),17-M (18),nan (18),nan (18),nan (18),nan (18),"<30 (12), 3000-5000 (1), 5000-10000 (3), >10000 (2)",0 (18),
7,"Buttigieg K., Carroll M., Hewson R., Dowall S., Findlay-wilson S., Miloszewska A.",CRIMEAN-CONGO HAEMORRHAGIC FEVER VIRUS ANTIGENIC COMPOSITION,Patent,,2014,"JC606540.1, JC606539.1, JC606538.1",Orthonairovirus haemorrhagiae (3),11-S (3),nan (3),nan (3),nan (3),nan (3),"1947 (1), 876 (1), 5055 (1)",0 (3),
8,"Chamberlain J., Atkinson B., Logue C., Latham J., Newman E., Hewson R.","Genome Sequence of Ex-Afghanistan Crimean-Congo Hemorrhagic Fever Virus SCT Strain, from an Imported United Kingdom Case in October 2012","Genome Announc 1 (3), E00161-13 (2013)",23682136.0,2013,"KC344856.1, KC344855.1, JX908640.1",Orthonairovirus haemorrhagiae (3),24-M (3),Homo sapiens (3),Afghanistan (3),03-O (3),"envelope glycoprotein precursor (1), RdRp (1), nucleocapsid protein (1)","5369 (1), 12168 (1), 1673 (1)","1685 (1), 3945 (1), 482 (1)","75%-90% (1), 95%-100% (2)"
9,"Chamberlain J., Cook N., Lloyd G., Mioulet V., Tolley H., Hewson R.",Co-evolutionary patterns of variation in small and large RNA segments of Crimean-Congo hemorrhagic fever virus,"J. Gen. Virol. 86 (PT 12), 3337-3341 (2005)",16298979.0,2005,"DQ076418.1, AY947890.1, DQ076416.1, DQ076413.1, AY947891.1, DQ076417.1, DQ076415.1, DQ076414.1, DQ076412.1",Orthonairovirus haemorrhagiae (9),"23-N (8), 26-J (1)",nan (9),"South Africa (3), Uganda (3), Nigeria (2), Iraq (1)",nan (9),"L protein (6), nucleoprotein (3)","100-500 (1), 1000-3000 (3), >10000 (5)","3945 (5), 482 (3), 72 (1)","75%-90% (1), 95%-100% (8)"
